,Name,Dates,Age,Location,Team,Opponent,Game Result,Started,Minutes Played,FG,FGA,FG3,FG3A,FG3Pct,FreeThrows,Free Throw Attempts,Free Throw Percent,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Game Score,Plus Minus
424,Jonas Valanciunas,2017-11-17,25-195,home,TOR,NYK,W (+23),1,19:21,2,6,0,0,0.0,0,0,0.0,0,5,5,1,0,1,1,0,4,2.5,+6
425,Jonas Valanciunas,2017-11-19,25-197,home,TOR,WAS,W (+9),1,16:46,2,7,0,0,0.0,0,0,0.0,2,5,7,1,0,2,0,1,4,4.5,-5
426,Jonas Valanciunas,2017-11-22,25-200,away,TOR,NYK,L (-8),1,17:32,4,8,0,0,0.0,0,0,0.0,3,3,6,1,0,3,3,2,8,6.0,-5
427,Jonas Valanciunas,2017-11-24,25-202,away,TOR,IND,L (-3),1,13:38,2,4,0,0,0.0,2,2,1.000,2,3,5,0,0,0,3,2,6,2.5,-20
428,Jonas Valanciunas,2017-11-25,25-203,away,TOR,ATL,W (+34),1,19:58,7,9,0,1,.000,2,2,1.000,4,4,8,2,0,0,4,2,16,13.1,+10
429,Jonas Valanciunas,2017-11-29,25-207,home,TOR,CHO,W (+13),1,22:26,6,12,0,1,.000,0,0,0.0,6,1,7,0,0,0,1,5,12,7.5,+7
430,Jonas Valanciunas,2017-12-01,25-209,home,TOR,IND,W (+5),1,21:06,6,11,0,0,0.0,1,1,1.000,3,4,7,1,0,1,1,2,13,10.6,+5
431,Jonas Valanciunas,2017-12-05,25-213,home,TOR,PHO,W (+13),1,18:29,0,5,0,0,0.0,4,4,1.000,3,5,8,0,2,0,2,1,4,3.7,+8
432,Jonas Valanciunas,2017-12-08,25-216,away,TOR,MEM,W (+9),1,18:19,3,5,0,0,0.0,2,2,1.000,4,4,8,0,0,1,0,3,8,9.2,+8
433,Jonas Valanciunas,2017-12-10,25-218,away,TOR,SAC,W (+15),1,22:03,3,3,1,1,1.000,2,2,1.000,1,7,8,0,1,0,3,1,9,8.5,+17
434,Jonas Valanciunas,2017-12-11,25-219,away,TOR,LAC,L (-5),1,27:44,8,10,1,1,1.000,6,6,1.000,1,14,15,0,0,0,0,3,23,22.9,+3
435,Jonas Valanciunas,2017-12-13,25-221,away,TOR,PHO,W (+6),1,30:28,7,12,1,1,1.000,5,8,.625,0,11,11,0,1,0,1,4,20,14.9,+16
436,Jonas Valanciunas,2017-12-15,25-223,home,TOR,BRK,W (+33),1,21:42,7,11,0,1,.000,0,0,0.0,0,5,5,0,0,2,1,0,14,11.0,+33
437,Jonas Valanciunas,2017-12-17,25-225,home,TOR,SAC,W (+15),1,27:26,3,10,0,1,.000,7,8,.875,7,8,15,2,0,3,1,1,13,16.2,+4
438,Jonas Valanciunas,2017-12-20,25-228,away,TOR,CHO,W (+18),1,15:39,2,6,0,1,.000,0,0,0.0,1,6,7,0,2,1,0,4,4,4.2,+14
439,Jonas Valanciunas,2017-12-21,25-229,away,TOR,PHI,W (+5),1,15:43,1,6,0,0,0.0,0,0,0.0,2,3,5,1,0,0,0,0,2,1.2,-12
